,node_size,ordering_heuristic,evidence_size,evidence_type,iterations,time_taken
93,10,min_fill,9,Maximum Evidence,3,0.12285161018371582
94,10,min_fill,9,Maximum Evidence,4,0.12208962440490723
95,10,min_fill,9,Maximum Evidence,5,0.12195801734924316
96,10,min_fill,9,Maximum Evidence,6,0.12230825424194336
97,10,min_fill,9,Maximum Evidence,7,0.1217658519744873
98,10,min_fill,9,Maximum Evidence,8,0.11559200286865234
99,10,min_fill,9,Maximum Evidence,9,0.12596845626831055
100,10,random,1,Lowest Evidence,0,0.11068248748779297
101,10,random,1,Lowest Evidence,1,0.11519026756286621
102,10,random,1,Lowest Evidence,2,0.11146426200866699
103,10,random,1,Lowest Evidence,3,0.11115264892578125
104,10,random,1,Lowest Evidence,4,0.1086890697479248
105,10,random,1,Lowest Evidence,5,0.1061406135559082
106,10,random,1,Lowest Evidence,6,0.11660957336425781
107,10,random,1,Lowest Evidence,7,0.11776185035705566
108,10,random,1,Lowest Evidence,8,0.11423373222351074
109,10,random,1,Lowest Evidence,9,0.12112832069396973
110,10,random,2,25% Evidence,0,0.12211751937866211
111,10,random,2,25% Evidence,1,0.11621904373168945
112,10,random,2,25% Evidence,2,0.11753535270690918
113,10,random,2,25% Evidence,3,0.11671710014343262
114,10,random,2,25% Evidence,4,0.11147093772888184
115,10,random,2,25% Evidence,5,0.1165471076965332
116,10,random,2,25% Evidence,6,0.11216425895690918
117,10,random,2,25% Evidence,7,0.11044597625732422
118,10,random,2,25% Evidence,8,0.11346077919006348
119,10,random,2,25% Evidence,9,0.10661149024963379
120,10,random,5,50% Evidence,0,0.10952639579772949
121,10,random,5,50% Evidence,1,0.11887025833129883
122,10,random,5,50% Evidence,2,0.12240314483642578
123,10,random,5,50% Evidence,3,0.1188201904296875
124,10,random,5,50% Evidence,4,0.12278246879577637
125,10,random,5,50% Evidence,5,0.11775517463684082
126,10,random,5,50% Evidence,6,0.11870503425598145
127,10,random,5,50% Evidence,7,0.11457681655883789
128,10,random,5,50% Evidence,8,0.10536932945251465
129,10,random,5,50% Evidence,9,0.11199331283569336
130,10,random,8,75% Evidence,0,0.10928034782409668
131,10,random,8,75% Evidence,1,0.11440491676330566
132,10,random,8,75% Evidence,2,0.11252617835998535
133,10,random,8,75% Evidence,3,0.11193513870239258
134,10,random,8,75% Evidence,4,0.10851764678955078
135,10,random,8,75% Evidence,5,0.11107945442199707
136,10,random,8,75% Evidence,6,0.10902166366577148
137,10,random,8,75% Evidence,7,0.11937475204467773
138,10,random,8,75% Evidence,8,0.12207436561584473
139,10,random,8,75% Evidence,9,0.12071537971496582
140,10,random,9,Maximum Evidence,0,0.1255662441253662
141,10,random,9,Maximum Evidence,1,0.1172175407409668
142,10,random,9,Maximum Evidence,2,0.11564397811889648
143,10,random,9,Maximum Evidence,3,0.1191563606262207
144,10,random,9,Maximum Evidence,4,0.12766575813293457
145,10,random,9,Maximum Evidence,5,0.11110758781433105
146,10,random,9,Maximum Evidence,6,0.10797739028930664
147,10,random,9,Maximum Evidence,7,0.11386728286743164
148,10,random,9,Maximum Evidence,8,0.11084961891174316
149,10,random,9,Maximum Evidence,9,0.10496258735656738
150,11,min_degree,1,Lowest Evidence,0,0.15781664848327637
151,11,min_degree,1,Lowest Evidence,1,0.1636965274810791
152,11,min_degree,1,Lowest Evidence,2,0.16419219970703125
153,11,min_degree,1,Lowest Evidence,3,0.16382455825805664
154,11,min_degree,1,Lowest Evidence,4,0.16524529457092285
155,11,min_degree,1,Lowest Evidence,5,0.15719366073608398
156,11,min_degree,1,Lowest Evidence,6,0.1541447639465332
157,11,min_degree,1,Lowest Evidence,7,0.15133333206176758
158,11,min_degree,1,Lowest Evidence,8,0.15304994583129883
159,11,min_degree,1,Lowest Evidence,9,0.15410757064819336
160,11,min_degree,3,25% Evidence,0,0.15285825729370117
161,11,min_degree,3,25% Evidence,1,0.16200661659240723
162,11,min_degree,3,25% Evidence,2,0.1642472743988037
163,11,min_degree,3,25% Evidence,3,0.1641693115234375
164,11,min_degree,3,25% Evidence,4,0.16748595237731934
165,11,min_degree,3,25% Evidence,5,0.1696033477783203
166,11,min_degree,3,25% Evidence,6,0.15716123580932617
167,11,min_degree,3,25% Evidence,7,0.15315580368041992
168,11,min_degree,3,25% Evidence,8,0.15257477760314941
169,11,min_degree,3,25% Evidence,9,0.15436720848083496
170,11,min_degree,6,50% Evidence,0,0.15348577499389648
171,11,min_degree,6,50% Evidence,1,0.15274691581726074
172,11,min_degree,6,50% Evidence,2,0.17187190055847168
173,11,min_degree,6,50% Evidence,3,0.16884136199951172
174,11,min_degree,6,50% Evidence,4,0.16105389595031738
175,11,min_degree,6,50% Evidence,5,0.16035699844360352
176,11,min_degree,6,50% Evidence,6,0.15616321563720703
177,11,min_degree,6,50% Evidence,7,0.15380048751831055
178,11,min_degree,6,50% Evidence,8,0.15511798858642578
179,11,min_degree,6,50% Evidence,9,0.15332555770874023
180,11,min_degree,8,75% Evidence,0,0.15410637855529785
181,11,min_degree,8,75% Evidence,1,0.15372991561889648
182,11,min_degree,8,75% Evidence,2,0.15695452690124512
183,11,min_degree,8,75% Evidence,3,0.16149568557739258
184,11,min_degree,8,75% Evidence,4,0.1640021800994873
185,11,min_degree,8,75% Evidence,5,0.1609199047088623
186,11,min_degree,8,75% Evidence,6,0.16144156455993652
187,11,min_degree,8,75% Evidence,7,0.1610703468322754
188,11,min_degree,8,75% Evidence,8,0.1541891098022461
189,11,min_degree,8,75% Evidence,9,0.15332818031311035
190,11,min_degree,10,Maximum Evidence,0,0.15513277053833008
191,11,min_degree,10,Maximum Evidence,1,0.1544022560119629
192,11,min_degree,10,Maximum Evidence,2,0.16421914100646973
193,11,min_degree,10,Maximum Evidence,3,0.16138386726379395
194,11,min_degree,10,Maximum Evidence,4,0.16164278984069824
195,11,min_degree,10,Maximum Evidence,5,0.16344118118286133
196,11,min_degree,10,Maximum Evidence,6,0.16083598136901855
197,11,min_degree,10,Maximum Evidence,7,0.15866470336914062
198,11,min_degree,10,Maximum Evidence,8,0.15141820907592773
199,11,min_degree,10,Maximum Evidence,9,0.1548011302947998
200,11,min_fill,1,Lowest Evidence,0,0.1580045223236084
201,11,min_fill,1,Lowest Evidence,1,0.16157817840576172
202,11,min_fill,1,Lowest Evidence,2,0.15714430809020996
203,11,min_fill,1,Lowest Evidence,3,0.1546175479888916
204,11,min_fill,1,Lowest Evidence,4,0.1642289161682129
205,11,min_fill,1,Lowest Evidence,5,0.16611695289611816
206,11,min_fill,1,Lowest Evidence,6,0.16728806495666504
207,11,min_fill,1,Lowest Evidence,7,0.1669771671295166
208,11,min_fill,1,Lowest Evidence,8,0.16094470024108887
209,11,min_fill,1,Lowest Evidence,9,0.15935969352722168
210,11,min_fill,3,25% Evidence,0,0.15731573104858398
211,11,min_fill,3,25% Evidence,1,0.1584007740020752
212,11,min_fill,3,25% Evidence,2,0.1516125202178955
213,11,min_fill,3,25% Evidence,3,0.1556687355041504
214,11,min_fill,3,25% Evidence,4,0.15708279609680176
215,11,min_fill,3,25% Evidence,5,0.16132640838623047
216,11,min_fill,3,25% Evidence,6,0.16100001335144043
217,11,min_fill,3,25% Evidence,7,0.16034746170043945
218,11,min_fill,3,25% Evidence,8,0.16010475158691406
219,11,min_fill,3,25% Evidence,9,0.1563704013824463
220,11,min_fill,6,50% Evidence,0,0.1524820327758789
221,11,min_fill,6,50% Evidence,1,0.15277719497680664
222,11,min_fill,6,50% Evidence,2,0.15142369270324707
223,11,min_fill,6,50% Evidence,3,0.15057134628295898
224,11,min_fill,6,50% Evidence,4,0.15075349807739258
225,11,min_fill,6,50% Evidence,5,0.1549668312072754
226,11,min_fill,6,50% Evidence,6,0.16641879081726074
227,11,min_fill,6,50% Evidence,7,0.1644120216369629
228,11,min_fill,6,50% Evidence,8,0.16538405418395996
229,11,min_fill,6,50% Evidence,9,0.1643078327178955
230,11,min_fill,8,75% Evidence,0,0.15785479545593262
231,11,min_fill,8,75% Evidence,1,0.1615123748779297
232,11,min_fill,8,75% Evidence,2,0.15851664543151855
233,11,min_fill,8,75% Evidence,3,0.15883946418762207
234,11,min_fill,8,75% Evidence,4,0.15751266479492188
235,11,min_fill,8,75% Evidence,5,0.15688014030456543
236,11,min_fill,8,75% Evidence,6,0.15856003761291504
237,11,min_fill,8,75% Evidence,7,0.15898585319519043
238,11,min_fill,8,75% Evidence,8,0.16198205947875977
239,11,min_fill,8,75% Evidence,9,0.16510653495788574
240,11,min_fill,10,Maximum Evidence,0,0.16254043579101562
241,11,min_fill,10,Maximum Evidence,1,0.15986990928649902
242,11,min_fill,10,Maximum Evidence,2,0.15657925605773926
243,11,min_fill,10,Maximum Evidence,3,0.1566910743713379
244,11,min_fill,10,Maximum Evidence,4,0.15870070457458496
245,11,min_fill,10,Maximum Evidence,5,0.1585843563079834
246,11,min_fill,10,Maximum Evidence,6,0.15999579429626465
247,11,min_fill,10,Maximum Evidence,7,0.1643528938293457
248,11,min_fill,10,Maximum Evidence,8,0.15862393379211426
249,11,min_fill,10,Maximum Evidence,9,0.15928101539611816
250,11,random,1,Lowest Evidence,0,0.15897893905639648
251,11,random,1,Lowest Evidence,1,0.16379189491271973
252,11,random,1,Lowest Evidence,2,0.14372777938842773
253,11,random,1,Lowest Evidence,3,0.15000581741333008
254,11,random,1,Lowest Evidence,4,0.1529252529144287
255,11,random,1,Lowest Evidence,5,0.13979578018188477
256,11,random,1,Lowest Evidence,6,0.14180564880371094
257,11,random,1,Lowest Evidence,7,0.15246295928955078
258,11,random,1,Lowest Evidence,8,0.1528613567352295
